"Code","Taxa","Description","CF_calc","CF_max","CF_min","CF_n","match_notes","calc_notes","mean_EUMOFA","max_EUMOFA","min_EUMOFA","n_EUMOFA","CF_live_to_commod"
30617,"parapenaeopsis atlantica","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"parapenaeus longirostris","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.476,2.35,1.04,4,"loose_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"pasiphaea tarda","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"penaeidae","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"penaeus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.68625,2.8,1,10,"full_match","assign",1.34,1.66,1,6,0.569476082004556
30617,"penaeus chinensis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"penaeus indicus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"penaeus merguiensis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.341798245625,1.754385965,1,2,"loose_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"penaeus monodon","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.642,2.56,1.66,4,"full_match","assign",1.34,1.66,1,6,0.476758045292014
30617,"penaeus penicillatus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.66,2.65,1.66,4,"full_match","assign",1.34,1.66,1,6,0.471698113207547
