"Code","SciName","Match_category","HS_version","Description","Modification","sciname_habitat","code_habitat"
30627,"farfantepenaeus duorarum","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"farfantepenaeus notialis","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"haliporoides diomedeae","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"haliporoides triarthrus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"heterocarpus reedi","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"litopenaeus occidentalis","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"litopenaeus schmitti","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"litopenaeus setiferus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"litopenaeus stylirostris","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"litopenaeus vannamei","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
